,Candidate,Gender,Race 1,Race 2,Race 3,Incumbent,Incumbent Challenger,State,Primary Date,Office,District,Primary Votes,Primary %,Primary Outcome,Runoff Votes,Runoff %,Runoff Outcome,2020 Election Stance,Trump,Trump Date,Club for Growth,Party Committee,Renew America,E-PAC,VIEW PAC,Maggie's List,Winning for Women,Race,Lastname_x,Firstname_x,Fuzzy_Firstname,Fuzzy_Lastname,Num Endorcements,Ethnicity,CAND_ID,CAND_NAME,CAND_ICI,PTY_CD,CAND_PTY_AFFILIATION,TTL_RECEIPTS,TRANS_FROM_AUTH,TTL_DISB,TRANS_TO_AUTH,COH_BOP,COH_COP,CAND_CONTRIB,CAND_LOANS,OTHER_LOANS,CAND_LOAN_REPAY,OTHER_LOAN_REPAY,DEBTS_OWED_BY,TTL_INDIV_CONTRIB,CAND_OFFICE_ST,CAND_OFFICE_DISTRICT,SPEC_ELECTION,PRIM_ELECTION,RUN_ELECTION,GEN_ELECTION,GEN_ELECTION_PRECENT,OTHER_POL_CMTE_CONTRIB,POL_PTY_CONTRIB,CVG_END_DT,INDIV_REFUNDS,CMTE_REFUNDS,Lastname_y,Firstname_y
185,Richard Hudson,Male,White,,,Yes,No,North Carolina,5/17/22,Representative,9,38117,79,Won,0,0,,Fully denied,Yes,5/14/22,,,,,,,,White,HUDSON,RICHARD,RICHARD,HUDSON,0,[],H2NC08185,"HUDSON, RICHARD L. JR.",I,2,REP,3120527.33,242894.03,1915482.68,1940.1,230918.41,1435963.06,0.0,0.0,0.0,0.0,0.0,0.0,1364245.98,NC,9.0,,,,,,1508193.35,0.0,12/31/2022,20650.0,7500.0,HUDSON,RICHARD
186,Francisco Rios,Male,Latino,,,No,Yes,North Carolina,5/17/22,Representative,9,1891,4,Lost,0,0,,No comment,No,,,,,,,,,Latino,RIOS,FRANCISCO,FRANCISCO,RIOS,0,['Latino (Puerto Rican)'],H2NC12211,"RIOS, FRANCISCO",C,2,REP,52030.0,0.0,52670.37,0.0,0.0,-640.37,0.0,45495.0,0.0,133.53,0.0,0.0,6515.0,NC,9.0,,,,,,0.0,0.0,10/15/2022,0.0,0.0,RIOS,FRANCISCO
187,Patrick McHenry,Male,White,,,Yes,No,North Carolina,5/17/22,Representative,10,49973,68,Won,0,0,,Fully accepted,Yes,5/14/22,,,,,,,,White,MCHENRY,PATRICK,PATRICK,MCHENRY,0,[],H4NC10047,"MCHENRY, PATRICK TIMOTHY",I,2,REP,3911761.09,703449.97,3495354.89,0.0,1706969.52,2123375.72,0.0,0.0,0.0,0.0,0.0,0.0,1261172.6,NC,10.0,,,,,,1946900.06,0.0,12/31/2022,14300.0,0.0,MCHENRY,PATRICK
188,Gary Robinson,Male,White,,,No,Yes,North Carolina,5/17/22,Representative,10,11671,16,Lost,0,0,,No comment,No,,,,,,,,,White,ROBINSON,GARY,GARY,ROBINSON,0,[],H2NC10124,"ROBINSON, GARY THOMAS",C,2,REP,297774.17,0.0,192907.87,0.0,0.0,95576.7,27391.52,230000.0,0.0,0.0,0.0,200000.0,40382.65,NC,10.0,,,,,,0.0,0.0,12/31/2022,22780.5,0.0,ROBINSON,GARY
189,Richard Speer,Male,White,,,No,Yes,North Carolina,5/17/22,Representative,10,3381,5,Lost,0,0,,No comment,No,,,,,,,,,White,SPEER,RICHARD,RICHARD,SPEER,0,[],H2NC02188,"SPEER, RICHARD J",C,2,REP,32835.0,0.0,29198.97,0.0,0.0,3636.03,0.0,30000.0,0.0,0.0,0.0,30000.0,2835.0,NC,10.0,,,,,,0.0,0.0,12/31/2022,0.0,0.0,SPEER,RICHARD
190,Chuck Edwards,Male,White,,,No,Yes,North Carolina,5/17/22,Representative,11,29496,33,Won,0,0,,Avoided answering,No,,,,,,,,,White,EDWARDS,CHUCK,CHUCK,EDWARDS,0,[],H2NC14050,"EDWARDS, CHUCK",C,2,REP,1584205.79,113181.76,1486312.92,0.0,0.0,97892.87,0.0,250000.0,0.0,20500.0,0.0,325500.0,918174.03,NC,11.0,,,,,,302850.0,0.0,12/31/2022,2354.93,250.0,EDWARDS,CHUCK
191,Wendy Marie-Limbaugh Nevarez,Female,White,,,No,Yes,North Carolina,5/17/22,Representative,11,4525,5,Lost,0,0,,Fully accepted,No,,,,,,,,,White,NEVAREZ,WENDY,WENDY,NEVAREZ,0,[],H2NC11163,"NEVAREZ, WENDY MARIE-LIMBAUGH",C,2,REP,30050.0,0.0,30050.0,0.0,0.0,0.0,5850.0,1000.0,0.0,0.0,0.0,0.0,18200.0,NC,11.0,,,,,,5000.0,0.0,06/30/2022,0.0,0.0,NEVAREZ,WENDY
192,Michele V. Woodhouse,Female,White,,,No,Yes,North Carolina,5/17/22,Representative,11,4668,5,Lost,0,0,,Fully denied,No,,,,,,,,,White,WOODHOUSE,MICHELE,MICHELE,WOODHOUSE,0,[],H2NC14035,"WOODHOUSE, MICHELE V",C,2,REP,121860.12,0.0,121837.36,0.0,0.0,22.76,3460.8,10000.0,0.0,0.0,0.0,17614.8,102671.31,NC,11.0,,,,,,5500.0,0.0,12/31/2022,226.04,0.0,WOODHOUSE,MICHELE
193,Matthew Burril,Male,White,,,No,Yes,North Carolina,5/17/22,Representative,11,8341,9,Lost,0,0,,Fully denied,No,,,,,,,,,White,BURRIL,MATTHEW,MATTHEW,BURRIL,0,[],H0NC11217,"BURRIL, MATTHEW",C,2,REP,500283.76,0.0,500283.76,0.0,0.0,0.0,0.0,375000.0,0.0,20056.83,0.0,0.0,82650.0,NC,11.0,,,,,,0.0,0.0,07/15/2022,6900.0,0.0,BURRIL,MATTHEW
194,Nalini Joseph,Female,Asian,,,No,No,North Carolina,5/17/22,Representative,12,5543,23,Lost,0,0,,Raised questions,No,,,,,,,,,Asian,JOSEPH,NALINI,NALINI,JOSEPH,0,['Asian (Indian)'],H2NC12278,"JOSEPH, NALINI",C,2,REP,5000.0,0.0,3897.21,0.0,3572.3,4675.09,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,NC,12.0,,,,,,0.0,0.0,04/27/2022,0.0,0.0,JOSEPH,NALINI
195,Tyler Lee,Male,White,,,No,No,North Carolina,5/17/22,Representative,12,10388,43,Won,0,0,,Raised questions,No,,,,,,,,,White,LEE,TYLER,TYLER,LEE,0,[],H2NC12229,"LEE, TYLER",C,2,REP,211748.03,0.0,210528.26,0.0,0.0,1219.77,100.0,4175.36,0.0,0.0,0.0,23056.78,199871.56,NC,12.0,,,,,,0.0,3000.0,12/31/2022,100.0,0.0,LEE,TYLER
196,Kelly Kathleen Daughtry,Female,White,,,No,No,North Carolina,5/17/22,Representative,13,9300,17,Lost,0,0,,No comment,No,,No,,,,Yes,,Yes,White,DAUGHTRY,KELLY,KELLY,DAUGHTRY,2,[],H2NC04200,"DAUGHTRY, KELLY",O,2,REP,3575112.25,0.0,3575112.25,0.0,0.0,0.0,368937.0,2900500.0,0.0,0.0,0.0,0.0,286271.0,NC,13.0,,,,,,18600.0,0.0,06/30/2022,52500.0,5000.0,DAUGHTRY,KELLY
197,Renee Ellmers,Female,White,,,No,No,North Carolina,5/17/22,Representative,13,5176,9,Lost,0,0,,No comment,No,,No,,,,No,,No,White,ELLMERS,RENEE,RENEE,ELLMERS,0,[],H0NC02059,"ELLMERS, RENEE JACISIN",O,2,REP,91536.41,0.0,91164.91,0.0,0.0,371.5,7035.37,62500.0,0.0,0.0,0.0,102500.0,20971.04,NC,13.0,,,,,,1000.0,0.0,12/31/2022,0.0,0.0,ELLMERS,RENEE
198,Kent Keirsey,Male,White,,,No,No,North Carolina,5/17/22,Representative,13,6223,11,Lost,0,0,,No comment,No,,No,,,,No,,No,White,KEIRSEY,KENT,KENT,KEIRSEY,0,[],H2NC13193,"KEIRSEY, KENT",O,2,REP,948949.72,0.0,948949.72,0.0,0.0,0.0,0.0,477604.95,0.0,0.0,0.0,0.0,461026.02,NC,13.0,,,,,,9500.0,0.0,06/30/2022,75875.0,0.0,KEIRSEY,KENT
199,Jessica Morel,Female,White,,,No,No,North Carolina,5/17/22,Representative,13,738,1,Lost,0,0,,No comment,No,,No,,,,No,,No,White,MOREL,JESSICA,JESSICA,MOREL,0,[],H2NC13268,"MOREL, JESSICA",O,2,REP,11708.5,0.0,4132.5,0.0,0.0,76.0,2782.5,0.0,0.0,0.0,0.0,0.0,8926.0,NC,13.0,,,,,,0.0,0.0,12/31/2022,400.0,0.0,MOREL,JESSICA
200,Chad Slotta,Male,White,,,No,No,North Carolina,5/17/22,Representative,13,3074,6,Lost,0,0,,Raised questions,No,,No,,,,No,,No,White,SLOTTA,CHAD,CHAD,SLOTTA,0,[],H2NC07187,"SLOTTA, CHAD",C,2,REP,417416.0,0.0,416532.0,0.0,0.0,884.0,0.0,335000.0,0.0,56995.11,0.0,349825.89,77416.0,NC,13.0,,,,,,5000.0,0.0,12/31/2022,0.0,0.0,SLOTTA,CHAD
201,DeVan Barbour,Male,White,,,No,No,North Carolina,5/17/22,Representative,13,12426,23,Lost,0,0,,No comment,No,,No,,,,No,,No,White,BARBOUR,DEVAN,DEVAN,BARBOUR,0,[],H2NC04168,"BARBOUR, DEVAN IV",O,2,REP,500475.33,0.0,489077.89,0.0,0.0,11397.44,23356.16,170000.0,0.0,0.0,0.0,182810.0,307019.17,NC,13.0,,,,,,100.0,0.0,12/31/2022,8555.0,0.0,BARBOUR,DEVAN
202,Pat Harrigan,Male,White,,,No,No,North Carolina,5/17/22,Representative,14,27638,76,Won,0,0,,Accepted with reservations,No,,,,,,,,,White,HARRIGAN,PAT,PAT,HARRIGAN,0,[],H2NC13243,"HARRIGAN, PAT",O,3,UNK,876228.11,24793.32,802180.5,0.0,0.0,74047.61,0.0,50000.0,0.0,0.0,0.0,50000.0,688797.59,NC,14.0,,,,,,110650.0,900.0,12/31/2022,23453.09,0.0,HARRIGAN,PAT
203,Kathy Barnette,Female,Black,,,No,No,Pennsylvania,5/17/22,Senator,,331903,25,Lost,0,0,,Fully denied,No,,Yes,,,,,,,Black,BARNETTE,KATHY,KATHY,BARNETTE,1,[],H0PA04279,"BARNETTE, KATHY",C,2,REP,2620371.33,0.0,2501412.93,0.0,115749.0,234707.4,33.0,0.0,0.0,0.0,0.0,19592.17,2555995.35,PA,4.0,,,,,,30150.0,0.0,12/31/2022,162102.13,5100.0,BARNETTE,KATHY
205,Mehmet Oz,Male,Middle Eastern,,,No,No,Pennsylvania,5/17/22,Senator,,420168,31,Won,0,0,,Raised questions,Yes,4/9/22,No,,,,,,,Middle Eastern,OZ,MEHMET,MEHMET,OZ,0,['Eastern (Turkish)'],S2PA00638,"OZ, MEHMET DR",O,2,REP,51080108.65,2395994.59,49392954.65,115768.87,0.0,1687154.0,0.0,26796343.81,0.0,0.0,0.0,27078782.81,20719872.63,PA,0.0,,,,,,565625.0,55200.0,12/31/2022,49045.73,20800.0,OZ,MEHMET
206,George Bochetto,Male,White,,,No,No,Pennsylvania,5/17/22,Senator,,14492,1,Lost,0,0,,Accepted with reservations,No,,No,,,,,,,White,BOCHETTO,GEORGE,GEORGE,BOCHETTO,0,[],S2PA00703,"BOCHETTO, GEORGE",O,2,REP,929912.59,0.0,929912.59,0.0,0.0,0.0,0.0,634294.59,0.0,0.0,0.0,634294.59,282568.0,PA,0.0,,,,,,0.0,0.0,12/31/2022,14400.0,0.0,BOCHETTO,GEORGE
207,Dave McCormick,Male,White,,,No,No,Pennsylvania,5/17/22,Senator,,419218,31,Lost,0,0,,Avoided answering,No,,No,,,,,,,White,MCCORMICK,DAVE,DAVE,MCCORMICK,0,[],S2PA00661,"MCCORMICK, DAVE",O,2,REP,20310511.81,0.0,20302691.28,4000.0,0.0,7820.53,0.0,14398735.69,0.0,0.0,0.0,14805626.74,5429899.51,PA,0.0,,,,,,102900.0,0.0,12/31/2022,76300.0,0.0,MCCORMICK,DAVE
208,Sean Gale,Male,White,,,No,No,Pennsylvania,5/17/22,Senator,,20266,2,Lost,0,0,,Fully denied,No,,No,,,,,,,White,GALE,SEAN,SEAN,GALE,0,[],S2PA00372,"GALE, SEAN",O,2,REP,55099.43,0.0,55099.43,0.0,0.0,0.0,12597.33,0.0,0.0,0.0,0.0,0.0,41488.0,PA,0.0,,,,,,0.0,0.0,10/12/2022,0.0,0.0,GALE,SEAN
209,Carla Sands,Female,White,,,No,No,Pennsylvania,5/17/22,Senator,,73360,5,Lost,0,0,,Fully denied,No,,No,,,,,,,White,SANDS,CARLA,CARLA,SANDS,0,[],S2PA00554,"SANDS, CARLA H",O,2,REP,8856510.67,0.0,8856510.67,0.0,0.0,0.0,4042493.5,4035000.0,0.0,4035000.0,0.0,0.0,768845.24,PA,0.0,,,,,,7000.0,0.0,08/30/2022,124316.03,0.0,SANDS,CARLA
210,Alex Entin,Male,White,,,No,Yes,Pennsylvania,5/17/22,Representative,1,31772,34,Lost,0,0,,Raised questions,No,,,,,,,,,White,ENTIN,ALEX,ALEX,ENTIN,0,[],H2PA01149,"ENTIN, ALEX",C,2,REP,19577.06,0.0,19577.06,0.0,0.0,0.0,0.0,4000.0,0.0,2397.11,0.0,0.0,14751.25,PA,1.0,,,,,,825.81,0.0,06/30/2022,0.0,0.0,ENTIN,ALEX
211,Brian Fitzpatrick,Male,White,,,Yes,No,Pennsylvania,5/17/22,Representative,1,60502,66,Won,0,0,,Accepted with reservations,No,,,,,,,,,White,FITZPATRICK,BRIAN,BRIAN,FITZPATRICK,0,[],H6PA08277,"FITZPATRICK, BRIAN",I,2,REP,4560231.74,420080.2,3148642.09,4600.85,48324.6,1459914.25,0.0,0.0,0.0,0.0,0.0,62747.5,2021154.83,PA,1.0,,,,,,2030753.56,5000.0,12/31/2022,48483.65,7500.0,FITZPATRICK,BRIAN
212,Christian Nascimento,Male,White,,,No,No,Pennsylvania,5/17/22,Representative,4,47192,69,Won,0,0,,No comment,No,,,,,,,,,White,NASCIMENTO,CHRISTIAN,CHRISTIAN,NASCIMENTO,0,[],H2PA04226,"NASCIMENTO, CHRISTIAN",C,2,REP,239390.88,2900.0,237960.54,500.0,0.0,1430.34,500.0,0.0,0.0,0.0,0.0,0.0,220590.88,PA,4.0,,,,,,12175.0,3225.0,12/31/2022,0.0,1000.0,NASCIMENTO,CHRISTIAN
213,David Galluch,Male,White,,,No,No,Pennsylvania,5/17/22,Representative,5,55770,100,Won,0,0,,No comment,No,,,,,,,,,White,GALLUCH,DAVID,DAVID,GALLUCH,0,[],H2PA05074,"GALLUCH, DAVID",C,2,REP,746756.83,0.0,734779.14,0.0,0.0,12277.69,2012.79,0.0,0.0,0.0,0.0,0.0,691144.04,PA,5.0,,,,,,48600.0,5000.0,12/31/2022,1075.0,0.0,GALLUCH,DAVID
214,Regina Mauro,Female,Latino,,,No,No,Pennsylvania,5/17/22,Representative,6,10565,15,Lost,0,0,,Fully denied,No,,,,,,,,,Latino,MAURO,REGINA,REGINA,MAURO,0,['Latino (Cuban)'],H2PA06189,"MAURO, REGINA",C,2,REP,59275.18,0.0,59275.18,0.0,0.0,0.0,11212.78,27000.0,0.0,472.62,0.0,28434.48,11962.4,PA,6.0,,,,,,9100.0,0.0,06/30/2022,0.0,2000.0,MAURO,REGINA
215,Ron Vogel,Male,White,,,No,No,Pennsylvania,5/17/22,Representative,6,15628,22,Lost,0,0,,Avoided answering,No,,,,,,,,,White,VOGEL,RON,RON,VOGEL,0,[],H2PA06171,"VOGEL, RON",C,2,REP,299950.21,0.0,299950.21,0.0,0.0,0.0,1055.0,250000.0,0.0,244629.0,0.0,0.0,48364.66,PA,6.0,,,,,,0.0,0.0,07/13/2022,3200.0,0.0,VOGEL,RON
216,Steve Fanelli,Male,White,,,No,No,Pennsylvania,5/17/22,Representative,6,21146,30,Lost,0,0,,No comment,No,,,,,,,,,White,FANELLI,STEVE,STEVE,FANELLI,0,[],H2PA06163,"FANELLI, STEVE",C,2,REP,937221.66,0.0,937221.66,0.0,0.0,0.0,54.28,645000.0,0.0,546059.41,0.0,0.0,289660.89,PA,6.0,,,,,,1250.0,0.0,06/30/2022,28750.0,0.0,FANELLI,STEVE
217,Guy Ciarrocchi,Male,White,,,No,No,Pennsylvania,5/17/22,Representative,6,23369,33,Won,0,0,,Raised questions,No,,,,,,,,,White,CIARROCCHI,GUY,GUY,CIARROCCHI,0,[],H2PA06197,"CIARROCCHI, GUY",C,2,REP,1038552.06,0.0,1038514.19,1329.59,0.0,37.87,30000.0,0.0,0.0,0.0,0.0,0.0,672915.14,PA,6.0,,,,,,256126.82,5750.0,12/31/2022,16903.29,2000.0,CIARROCCHI,GUY
218,Kevin Dellicker,Male,White,,,No,No,Pennsylvania,5/17/22,Representative,7,32713,49,Lost,0,0,,No comment,No,,,No,,No,No,No,No,White,DELLICKER,KEVIN,KEVIN,DELLICKER,0,[],H2PA07096,"DELLICKER, KEVIN",C,2,REP,233027.19,0.0,231514.99,0.0,0.0,1512.2,12008.59,71800.0,0.0,0.0,0.0,71800.0,143218.6,PA,7.0,,,,,,6000.0,0.0,12/31/2022,100.0,0.0,DELLICKER,KEVIN
219,Lisa Scheller,Female,White,,,No,No,Pennsylvania,5/17/22,Representative,7,34504,51,Won,0,0,,No comment,No,,,Yes,,Yes,Yes,Yes,Yes,White,SCHELLER,LISA,LISA,SCHELLER,5,[],H0PA07132,"SCHELLER, LISA",C,2,REP,6354578.69,220810.15,6432421.56,3000.0,80580.36,2737.49,0.0,3168000.0,0.0,0.0,0.0,3418000.0,2381481.34,PA,7.0,,,,,,514762.0,5000.0,12/31/2022,70301.79,500.0,SCHELLER,LISA
220,Jim Bognet,Male,White,,,No,No,Pennsylvania,5/17/22,Representative,8,47097,69,Won,0,0,,Fully denied,Yes,5/3/22,,Yes,,,,,,White,BOGNET,JIM,JIM,BOGNET,1,[],H0PA08221,"BOGNET, JIM",C,2,REP,3017514.63,211002.99,3054918.96,0.0,133486.9,96082.57,2660.5,10500.0,0.0,10500.0,0.0,6000.0,2028793.92,PA,8.0,,,,,,660251.08,5000.0,12/31/2022,9905.0,3100.0,BOGNET,JIM
221,Scott Perry,Male,White,,,Yes,No,Pennsylvania,5/17/22,Representative,10,84646,100,Won,0,0,,Fully denied,Yes,5/10/22,,,No,,,,,White,PERRY,SCOTT,SCOTT,PERRY,0,[],H2PA04135,"PERRY, SCOTT",I,2,REP,3043768.91,156743.69,3038350.12,0.0,169199.7,173118.49,0.0,0.0,0.0,0.0,0.0,253919.44,2646297.84,PA,10.0,,,,,,238870.27,0.0,12/31/2022,95753.16,0.0,PERRY,SCOTT
222,Lloyd K. Smucker,Male,White,,,Yes,No,Pennsylvania,5/17/22,Representative,11,96886,100,Won,0,0,,Fully denied,Yes,5/10/22,,,,,,,,White,SMUCKER,LLOYD,LLOYD,SMUCKER,0,[],H6PA16320,"SMUCKER, LLOYD K.",I,2,REP,1560516.69,338317.54,1377468.04,0.0,696775.0,879823.65,0.0,0.0,0.0,49208.78,0.0,0.0,459193.45,PA,11.0,,,,,,762640.0,0.0,12/31/2022,8850.0,250.0,SMUCKER,LLOYD
223,John Joyce,Male,White,,,Yes,No,Pennsylvania,5/17/22,Representative,13,114160,100,Won,0,0,,Fully denied,Yes,3/18/22,,,,,,,,White,JOYCE,JOHN,JOHN,JOYCE,0,[],H8PA13125,"JOYCE, JOHN",I,2,REP,1525290.3,384688.05,432003.62,0.0,718882.63,1812169.31,0.0,0.0,0.0,0.0,0.0,906423.0,334667.0,PA,13.0,,,,,,805735.25,200.0,12/31/2022,1700.0,0.0,JOYCE,JOHN
224,Guy Reschenthaler,Male,White,,,Yes,No,Pennsylvania,5/17/22,Representative,14,81243,100,Won,0,0,,Fully denied,Yes,5/10/22,,,,,,,,White,RESCHENTHALER,GUY,GUY,RESCHENTHALER,0,[],H8PA18199,"RESCHENTHALER, GUY MR.",I,2,REP,1998845.21,67004.16,2181930.15,3000.0,687579.62,504494.68,0.0,0.0,0.0,0.0,0.0,0.0,1305205.13,PA,14.0,,,,,,625424.39,0.0,12/31/2022,18985.0,-700.0,RESCHENTHALER,GUY
225,"Glenn ""GT"" Thompson",Male,White,,,Yes,No,Pennsylvania,5/17/22,Representative,15,99270,100,Won,0,0,,Fully denied,No,,,,,,,,,White,THOMPSON,GLENN,GLENN,THOMPSON,0,[],H8PA05071,"THOMPSON, GLENN MR.",I,2,REP,2692356.32,126478.97,2431756.89,0.0,93176.62,353776.05,0.0,0.0,0.0,0.0,0.0,0.0,1333384.86,PA,15.0,,,,,,1229629.41,75.0,12/31/2022,37682.98,11000.0,THOMPSON,GLENN
226,Jeremy Shaffer,Male,White,,,No,No,Pennsylvania,5/17/22,Representative,17,40965,59,Won,0,0,,No comment,No,,,,,,,,,White,SHAFFER,JEREMY,JEREMY,SHAFFER,0,[],H2PA17160,"SHAFFER, JEREMY",O,2,REP,2786043.66,222469.59,2721426.5,9276.17,0.0,64617.16,7858.12,1000000.0,0.0,0.0,0.0,1000000.0,1114138.95,PA,17.0,,,,,,436455.0,5000.0,12/31/2022,8836.87,500.0,SHAFFER,JEREMY
227,Jason Killmeyer,Male,White,,,No,No,Pennsylvania,5/17/22,Representative,17,16801,24,Lost,0,0,,Raised questions,No,,,,,,,,,White,KILLMEYER,JASON,JASON,KILLMEYER,0,[],H2PA17152,"KILLMEYER, JASON",O,2,REP,177329.75,0.0,177329.75,0.0,0.0,0.0,0.0,124452.26,0.0,0.0,0.0,129783.97,50844.77,PA,17.0,,,,,,0.0,0.0,12/31/2022,0.0,0.0,KILLMEYER,JASON
228,Kathy Coder,Female,White,,,No,No,Pennsylvania,5/17/22,Representative,17,12079,17,Lost,0,0,,No comment,No,,,,,,,,,White,CODER,KATHY,KATHY,CODER,0,[],H2PA17186,"CODER, KATHY",C,2,REP,33668.61,0.0,33668.61,0.0,0.0,0.0,15200.0,0.0,0.0,0.0,0.0,0.0,18468.61,PA,17.0,,,,,,0.0,0.0,06/30/2022,760.61,0.0,CODER,KATHY
229,Monica Carpio,Female,White,,,No,No,Virginia,5/21/22,Representative,8,0,0,Lost,0,0,,No comment,No,,,,,,,,,White,CARPIO,MONICA,MONICA,CARPIO,0,[],H2VA10174,"CARPIO, MONICA",C,2,REP,9712.75,0.0,9319.75,0.0,0.0,120.31,5000.0,0.0,0.0,0.0,0.0,0.0,4712.75,VA,8.0,,,,,,0.0,0.0,05/01/2022,0.0,0.0,CARPIO,MONICA
230,Jeff Jordan,Male,White,,,No,No,Virginia,5/21/22,Representative,8,0,0,Lost,0,0,,No comment,No,,,,,,,,,White,JORDAN,JEFF,JEFF,JORDAN,0,[],H2VA08160,"JORDAN, JEFF",C,2,REP,12467.93,0.0,12467.93,0.0,0.0,0.0,0.0,11767.93,0.0,0.0,0.0,11767.93,700.0,VA,8.0,,,,,,0.0,0.0,06/30/2022,0.0,0.0,JORDAN,JEFF
231,Heerak Kim,Male,Asian,,,No,No,Virginia,5/21/22,Representative,8,0,0,Lost,0,0,,Fully denied,No,,,,,,,,,Asian,KIM,HEERAK,HEERAK,KIM,0,['Asian (Korean)'],H0VA08172,"KIM, HEERAK CHRISTIAN DR.",C,2,REP,18400.0,0.0,15461.25,0.0,114.05,3052.8,0.0,17400.0,0.0,0.0,0.0,0.0,1000.0,VA,8.0,,,,,,0.0,0.0,12/31/2022,0.0,0.0,KIM,HEERAK
232,Karina Lipsman,Female,White,,,No,No,Virginia,5/21/22,Representative,8,0,0,Won,0,0,,No comment,No,,,,,,,,,White,LIPSMAN,KARINA,KARINA,LIPSMAN,0,[],H2VA08152,"LIPSMAN, KARINA",C,2,REP,290981.09,0.0,284041.8,0.0,0.0,6939.29,0.0,0.0,0.0,0.0,0.0,0.0,277163.16,VA,8.0,,,,,,7600.0,5999.0,12/31/2022,75.0,0.0,LIPSMAN,KARINA
233,Kezia Tunnell,Female,White,,,No,No,Virginia,5/21/22,Representative,8,0,0,Lost,0,0,,No comment,No,,,,,,,,,White,TUNNELL,KEZIA,KEZIA,TUNNELL,0,[],H2VA08178,"TUNNELL, KEZIA",C,2,REP,30689.86,0.0,30689.86,0.0,0.0,0.0,22705.86,0.0,0.0,0.0,0.0,0.0,7984.0,VA,8.0,,,,,,0.0,0.0,05/25/2022,0.0,0.0,TUNNELL,KEZIA
234,John Beatty,Male,White,,,No,No,Virginia,5/21/22,Representative,10,232,2,Lost,0,0,,No comment,No,,,,,No,No,,,White,BEATTY,JOHN,JOHN,BEATTY,0,[],H2VA10141,"BEATTY, JOHN",C,2,REP,74687.66,0.0,74687.66,0.0,0.0,0.0,1030.0,0.0,0.0,0.0,0.0,0.0,73645.66,VA,10.0,,,,,,0.0,0.0,09/30/2022,1595.0,0.0,BEATTY,JOHN
235,Hung Cao,Male,Asian,,,No,No,Virginia,5/21/22,Representative,10,6363,42,Made runoff,7729,52,Won,Raised questions,No,,,,,No,No,,,Asian,CAO,HUNG,HUNG,CAO,0,['Asian (Vietnamese)'],H2VA10240,"CAO, HUNG",C,2,REP,3304902.6,51139.88,3212421.81,2607.07,0.0,92480.79,96.0,0.0,0.0,0.0,0.0,0.0,3101740.72,VA,10.0,,,,,,141700.0,10175.0,12/31/2022,128723.08,5000.0,CAO,HUNG
236,Mike Clancy,Male,White,,,No,No,Virginia,5/21/22,Representative,10,719,5,Lost,0,0,,No comment,No,,,,,No,No,,,White,CLANCY,MIKE,MIKE,CLANCY,0,[],H2VA11206,"CLANCY, MIKE",C,2,REP,399376.04,0.0,399376.04,0.0,0.0,0.0,8138.73,224975.0,0.0,10028.25,0.0,0.0,163061.72,VA,10.0,,,,,,3200.0,0.0,07/25/2022,6355.0,0.0,CLANCY,MIKE
237,Theresa Coates Ellis,Female,White,,,No,No,Virginia,5/21/22,Representative,10,259,2,Lost,0,0,,No comment,No,,,,,No,No,,,White,ELLIS,THERESA,THERESA,ELLIS,0,[],H2VA10190,"ELLIS, THERESA COATES MS",C,2,REP,81258.0,0.0,81258.0,0.0,0.0,0.0,0.0,33300.0,0.0,238.91,0.0,0.0,47958.0,VA,10.0,,,,,,0.0,0.0,07/12/2022,0.0,0.0,ELLIS,THERESA
238,John Henley,Male,White,,,No,No,Virginia,5/21/22,Representative,10,612,4,Lost,0,0,,No comment,No,,,,,No,No,,,White,HENLEY,JOHN,JOHN,HENLEY,0,[],H2VA10232,"HENLEY, JOHN ALLEN",C,2,REP,54290.38,0.0,54290.38,0.0,0.0,0.0,3690.38,22000.0,0.0,0.0,0.0,22000.0,27600.0,VA,10.0,,,,,,1000.0,0.0,06/07/2022,0.0,0.0,HENLEY,JOHN
239,Jeanine Lawson,Female,White,,,No,No,Virginia,5/21/22,Representative,10,4373,29,Made runoff,5000,34,Lost,Raised questions,No,,,,,Yes,Yes,,,White,LAWSON,JEANINE,JEANINE,LAWSON,2,[],H2VA10182,"LAWSON, JEANINE M.",C,2,REP,1011676.39,15867.15,1011676.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,946017.45,VA,10.0,,,,,,48215.45,0.0,08/31/2022,112276.67,6000.0,LAWSON,JEANINE
240,Caleb Max,Male,White,,,No,No,Virginia,5/21/22,Representative,10,621,4,Lost,0,0,,No comment,No,,,,,No,No,,,White,MAX,CALEB,CALEB,MAX,0,[],H2VA10224,"MAX, CALEB J MR",C,2,REP,237183.4,0.0,236682.21,0.0,0.0,501.19,0.0,142875.59,0.0,0.0,0.0,142875.59,90507.81,VA,10.0,,,,,,2000.0,0.0,12/31/2022,500.0,0.0,MAX,CALEB
