,Candidate,Gender,Race 1,Race 2,Race 3,Incumbent,Incumbent Challenger,State,Primary Date,Office,District,Primary Votes,Primary %,Primary Outcome,Runoff Votes,Runoff %,Runoff Outcome,2020 Election Stance,Trump,Trump Date,Club for Growth,Party Committee,Renew America,E-PAC,VIEW PAC,Maggie's List,Winning for Women,Race,Lastname_x,Firstname_x,Fuzzy_Firstname,Fuzzy_Lastname,Num Endorcements,Ethnicity,CAND_ID,CAND_NAME,CAND_ICI,PTY_CD,CAND_PTY_AFFILIATION,TTL_RECEIPTS,TRANS_FROM_AUTH,TTL_DISB,TRANS_TO_AUTH,COH_BOP,COH_COP,CAND_CONTRIB,CAND_LOANS,OTHER_LOANS,CAND_LOAN_REPAY,OTHER_LOAN_REPAY,DEBTS_OWED_BY,TTL_INDIV_CONTRIB,CAND_OFFICE_ST,CAND_OFFICE_DISTRICT,SPEC_ELECTION,PRIM_ELECTION,RUN_ELECTION,GEN_ELECTION,GEN_ELECTION_PRECENT,OTHER_POL_CMTE_CONTRIB,POL_PTY_CONTRIB,CVG_END_DT,INDIV_REFUNDS,CMTE_REFUNDS,Lastname_y,Firstname_y
11,Tina Blum Cohen,Female,White,,,No,No,Texas,3/1/22,Representative,7,1792,8,Lost,0,0,,No comment,No,,,,,,,,,White,COHEN,TINA,TINA,COHEN,0,[],H2TX07119,"COHEN, TINA MRS.",C,2,REP,50000.0,0.0,16580.29,0.0,0.0,33419.71,0.0,50000.0,0.0,0.0,0.0,50000.0,0.0,TX,7.0,,,,,,0.0,0.0,12/31/2022,0.0,0.0,COHEN,TINA
12,Laique Rehman,Male,Asian,,,No,No,Texas,3/1/22,Representative,7,977,5,Lost,0,0,,Raised questions,No,,,,,,,,,Asian,REHMAN,LAIQUE,LAIQUE,REHMAN,0,[],H0TX07220,"REHMAN, LAIQUE",C,2,REP,35796.0,0.0,35972.0,0.0,0.0,-176.0,20525.0,0.0,0.0,0.0,0.0,0.0,15271.0,TX,7.0,,,,,,0.0,0.0,07/12/2022,1720.7,0.0,REHMAN,LAIQUE
13,Lance Stewart,Male,White,,,No,No,Texas,3/1/22,Representative,7,1764,8,Lost,0,0,,No comment,No,,,,,,,,,White,STEWART,LANCE,LANCE,STEWART,0,[],H2TX07127,"STEWART, LANCE",C,2,REP,23730.99,0.0,19571.0,0.0,0.0,0.0,50.0,14321.0,0.0,0.0,0.0,0.0,6459.99,TX,7.0,,,,,,0.0,0.0,05/23/2022,0.0,0.0,STEWART,LANCE
14,Johnny Teague,Male,White,,,No,No,Texas,3/1/22,Representative,7,9293,43,Made runoff,9152,64,Won,Raised questions,No,,,,,,,,,White,TEAGUE,JOHNNY,JOHNNY,TEAGUE,0,[],H0TX09176,"TEAGUE, JOHNNY MARK DR.",C,2,REP,191713.98,0.0,200247.27,0.0,8533.29,0.0,39323.2,0.0,0.0,0.0,0.0,12250.0,142390.78,TX,7.0,,,,,,0.0,10000.0,12/31/2022,0.0,0.0,TEAGUE,JOHNNY
15,Candice C. Burrows,Female,White,,,No,No,Texas,3/1/22,Representative,8,1519,2,Lost,0,0,,No comment,No,,,,,,,,,White,BURROWS,CANDICE,CANDICE,BURROWS,0,[],H2TX08265,"BURROWS, CANDICE CUNNINGHAM MS",O,2,REP,32352.11,0.0,32352.11,0.0,0.0,0.0,14228.23,0.0,0.0,0.0,0.0,0.0,18123.18,TX,8.0,,,,,,0.0,0.0,04/15/2022,0.0,0.0,BURROWS,CANDICE
16,Christian Collins,Male,White,,,No,No,Texas,3/1/22,Representative,8,14659,22,Lost,0,0,,Fully denied,No,,,,,,,,,White,COLLINS,CHRISTIAN,CHRISTIAN,COLLINS,0,[],H2TX08273,"COLLINS, CHRISTIAN",O,2,REP,418002.94,0.0,418002.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,397928.93,TX,8.0,,,,,,19900.0,0.0,09/19/2022,20500.0,0.0,COLLINS,CHRISTIAN
17,Jonathan Hullihan,Male,White,,,No,No,Texas,3/1/22,Representative,8,8296,13,Lost,0,0,,Fully denied,No,,,,,,,,,White,HULLIHAN,JONATHAN,JONATHAN,HULLIHAN,0,[],H2TX08133,"HULLIHAN, JONATHAN KEITH",O,2,REP,221661.5,0.0,221661.5,0.0,0.0,0.0,550.0,20000.0,0.0,20000.0,0.0,0.0,196211.5,TX,8.0,,,,,,4900.0,0.0,03/31/2022,22919.0,0.0,HULLIHAN,JONATHAN
18,Morgan Luttrell,Male,White,,,No,No,Texas,3/1/22,Representative,8,34271,52,Won,0,0,,Fully denied,No,,,,,,,,,White,LUTTRELL,MORGAN,MORGAN,LUTTRELL,0,[],H2TX08182,"LUTTRELL, MORGAN JOE",O,2,REP,4750765.79,107750.0,4488963.02,0.0,0.0,261802.77,0.0,0.0,0.0,0.0,0.0,0.0,4354820.05,TX,8.0,,,,,,288195.74,0.0,12/31/2022,12578.29,9000.0,LUTTRELL,MORGAN
19,Jessica Wellington,Female,White,,,No,No,Texas,3/1/22,Representative,8,1550,2,Lost,0,0,,No comment,No,,,,,,,,,White,WELLINGTON,JESSICA,JESSICA,WELLINGTON,0,[],H2TX08307,"WELLINGTON, JESSICA",O,2,REP,20237.63,0.0,20237.63,0.0,0.0,0.0,2972.63,0.0,0.0,0.0,0.0,0.0,17265.0,TX,8.0,,,,,,0.0,0.0,06/30/2022,5800.0,0.0,WELLINGTON,JESSICA
20,Jimmy I. Leon,Male,Unknown,,,No,No,Texas,3/1/22,Representative,9,10503,100,Won,0,0,,No comment,No,,,,,,,,,Unknown,LEON,JIMMY,JIMMY,LEON,0,[],H2TX09156,"LEON, JIMMY",C,2,REP,1121.26,0.0,5374.58,0.0,0.0,-4253.32,0.0,0.0,0.0,0.0,0.0,7464.8,1111.26,TX,9.0,,,,,,0.0,0.0,12/31/2022,0.0,0.0,LEON,JIMMY
