,Candidate,Gender,Race 1,Race 2,Race 3,Incumbent,Incumbent Challenger,State,Primary Date,Office,District,Primary Votes,Primary %,Primary Outcome,Runoff Votes,Runoff %,Runoff Outcome,EMILY's List,Justice Dems,Indivisible,PCCC,Our Revolution,Sunrise,Sanders,AOC,Party Committee,Biden,Race,Lastname_x,Firstname_x,Num Endorcements,Ethnicity,Fuzzy_Firstname,Fuzzy_Lastname,CAND_ID,CAND_NAME,CAND_ICI,PTY_CD,CAND_PTY_AFFILIATION,TTL_RECEIPTS,TRANS_FROM_AUTH,TTL_DISB,TRANS_TO_AUTH,COH_BOP,COH_COP,CAND_CONTRIB,CAND_LOANS,OTHER_LOANS,CAND_LOAN_REPAY,OTHER_LOAN_REPAY,DEBTS_OWED_BY,TTL_INDIV_CONTRIB,CAND_OFFICE_ST,CAND_OFFICE_DISTRICT,SPEC_ELECTION,PRIM_ELECTION,RUN_ELECTION,GEN_ELECTION,GEN_ELECTION_PRECENT,OTHER_POL_CMTE_CONTRIB,POL_PTY_CONTRIB,CVG_END_DT,INDIV_REFUNDS,CMTE_REFUNDS,Lastname_y,Firstname_y
0,"Jrmar ""JJ"" Jefferson",Male,Black,,,No,No,Texas,3/1/2022,Representative,1,7411,45,Made runoff,5607,76,Won,,,,,,,,,,False,Black,JEFFERSON,JRMAR,0,[],JRMAR,JEFFERSON,H2TX01146,"JEFFERSON, JRMAR",O,1,DEM,128130.6,0.0,93130.6,0.0,0.0,35000.0,0.0,73135.0,0.0,0.0,0.0,151876.02,53035.6,TX,1.0,,,,,,0.0,1960.0,12/31/2022,0.0,0.0,JEFFERSON,JRMAR
1,Stephen Kocen,Male,White,,,No,No,Texas,3/1/2022,Representative,1,2457,15,Lost,0,0,,,,,,,,,,,False,White,KOCEN,STEPHEN,0,[],STEPHEN,KOCEN,H2TX01153,"KOCEN, STEPHEN MARTIN",O,1,DEM,12273.0,0.0,9672.64,0.0,0.0,5609.04,0.0,3125.0,0.0,0.0,0.0,0.0,9148.0,TX,1.0,,,,,,0.0,0.0,11/08/2022,0.0,0.0,KOCEN,STEPHEN
2,Robin Fulford,Female,White,,,No,No,Texas,3/1/2022,Representative,2,17160,100,Won,0,0,,,,,,,,,,,False,White,FULFORD,ROBIN,0,[],ROBIN,FULFORD,H2TX02383,"FULFORD, ROBIN DAWN",C,1,DEM,231492.19,0.0,208303.18,0.0,0.0,23189.01,0.0,15595.55,0.0,0.0,0.0,15595.55,215896.64,TX,2.0,,,,,,0.0,0.0,12/31/2022,0.0,0.0,FULFORD,ROBIN
3,Doc Shelby,Male,Black,,,No,No,Texas,3/1/2022,Representative,3,8531,38,Lost,0,0,,,,,,,,,,,False,Black,SHELBY,DOC,0,[],DOC,SHELBY,H2TX04116,"SHELBY, DOC MR",C,1,DEM,8481.0,0.0,11620.77,0.0,370.0,-2769.77,0.0,0.0,0.0,0.0,0.0,3125.0,8481.0,TX,4.0,,,,,,0.0,0.0,03/31/2022,0.0,0.0,SHELBY,DOC
4,Sandeep Srivastava,Male,Asian,,,No,No,Texas,3/1/2022,Representative,3,13865,62,Won,0,0,,,,,,,,,,,False,Asian,SRIVASTAVA,SANDEEP,0,['Asian (Indian)'],SANDEEP,SRIVASTAVA,H2TX03274,"SRIVASTAVA, SANDEEP KUMAR",O,1,DEM,451102.93,0.0,447510.02,0.0,0.0,3592.91,1767.51,293233.73,0.0,0.0,0.0,293233.73,150101.69,TX,3.0,,,,,,6000.0,0.0,12/31/2022,0.0,0.0,SRIVASTAVA,SANDEEP
5,Kathleen Cordelia Bailey,Female,White,,,No,No,Texas,3/1/2022,Representative,5,9605,47,Lost,0,0,,,,,,,,,,,False,White,BAILEY,KATHLEEN,0,[],KATHLEEN,BAILEY,H2TX05238,"BAILEY, KATHLEEN CORDELIA",C,1,DEM,214285.69,0.0,214285.69,0.0,0.0,0.0,0.0,175000.0,0.0,91673.42,0.0,0.0,39245.74,TX,5.0,,,,,,0.0,0.0,08/04/2022,0.0,0.0,BAILEY,KATHLEEN
6,Tartisha Hill,Female,Black,,,No,No,Texas,3/1/2022,Representative,5,10689,53,Won,0,0,,,,,,,,,,,False,Black,HILL,TARTISHA,0,[],TARTISHA,HILL,H2TX05246,"HILL, TARTISHA A MRS.",C,1,DEM,13686.03,0.0,15319.52,0.0,928.0,-3212.65,0.0,0.0,0.0,0.0,0.0,0.0,10795.94,TX,5.0,,,,,,0.0,2890.09,12/31/2022,0.0,0.0,HILL,TARTISHA
7,Laura Jones,Female,White,,,No,No,Texas,3/1/2022,Representative,8,14496,100,Won,0,0,,,,,,,,,,,False,White,JONES,LAURA,0,[],LAURA,JONES,H0TX08145,"JONES, LAURA",O,1,DEM,42027.58,0.0,42917.95,0.0,1309.15,418.78,0.0,4150.0,0.0,2875.0,0.0,1277.7,37127.58,TX,8.0,,,,,,100.0,550.0,12/31/2022,0.0,0.0,JONES,LAURA
8,Trey J. Hunt,Male,White,Black,,No,No,Texas,3/1/2022,Representative,12,20561,100,Won,0,0,,,,,,,,,,,False,Black White,HUNT,TREY,0,[],TREY,HUNT,H2TX12085,"HUNT, TREY JOSEPH",C,1,DEM,50182.13,0.0,49483.33,0.0,0.0,698.8,8600.0,0.0,0.0,0.0,0.0,0.0,41582.13,TX,12.0,,,,,,0.0,0.0,12/31/2022,0.0,0.0,HUNT,TREY
9,Eugene Howard,Male,Black,,,No,No,Texas,3/1/2022,Representative,14,10619,50,Lost,0,0,,,,,,,,,,,False,Black,HOWARD,EUGENE,0,[],EUGENE,HOWARD,H2TX22159,"HOWARD, EUGENE",C,1,DEM,3532.0,0.0,3426.22,0.0,99.43,205.21,0.0,0.0,0.0,0.0,0.0,0.0,3532.0,TX,22.0,,,,,,0.0,0.0,02/17/2022,0.0,0.0,HOWARD,EUGENE
10,Mikal Williams,Male,White,,,No,No,Texas,3/1/2022,Representative,14,10691,50,Won,0,0,,,,,,,,,,,False,White,WILLIAMS,MIKAL,0,[],MIKAL,WILLIAMS,H0TX14218,"WILLIAMS, MIKAL D. DR",C,1,DEM,77331.77,0.0,56467.59,0.0,1052.16,21916.34,500.0,5500.0,0.0,4800.0,0.0,700.0,71081.77,TX,14.0,,,,,,250.0,0.0,10/19/2022,25.0,0.0,WILLIAMS,MIKAL
11,Eliza Alvarado,Female,Latino,,,No,No,Texas,3/1/2022,Representative,15,5398,17,Lost,0,0,,,,,,,,,,,False,Latino,ALVARADO,ELIZA,0,[],ELIZA,ALVARADO,H2TX15146,"ALVARADO, ELIZA DR.",C,1,DEM,79035.0,0.0,72804.9,0.0,0.0,6230.1,0.0,29000.0,0.0,0.0,0.0,29000.0,47360.0,TX,15.0,,,,,,2500.0,0.0,03/31/2022,4500.0,0.0,ALVARADO,ELIZA
12,Julio Garza,Male,Latino,,,No,No,Texas,3/1/2022,Representative,15,1693,5,Lost,0,0,,,,,,,,,,,False,Latino,GARZA,JULIO,0,[],JULIO,GARZA,H6TX29072,"GARZA, JULIO",C,2,REP,5380.0,0.0,5256.04,0.0,0.0,123.96,0.0,3125.0,0.0,350.0,0.0,0.0,2255.0,TX,29.0,,,,,,0.0,0.0,12/31/2022,0.0,0.0,GARZA,JULIO
13,Ruben Ramirez,Male,Latino,,,No,No,Texas,3/1/2022,Representative,15,9221,28,Made runoff,6049,50,Lost,No (runoff only),,,,,,,,,False,Latino,RAMIREZ,RUBEN,0,[],RUBEN,RAMIREZ,H2TX15138,"RAMIREZ, RUBEN",C,1,DEM,493221.73,0.0,493221.73,0.0,0.0,0.0,2423.99,12250.0,0.0,0.0,0.0,12250.0,390400.84,TX,15.0,,,,,,56400.0,0.0,09/30/2022,33520.0,1000.0,RAMIREZ,RUBEN
14,Michelle Vallejo,Female,Latino,,,No,No,Texas,3/1/2022,Representative,15,6570,20,Made runoff,6079,50,Won,Yes (runoff only),,,,,,,,,False,Latino,VALLEJO,MICHELLE,1,['Latino (Mexican)'],MICHELLE,VALLEJO,H2TX15203,"VALLEJO, MICHELLE",C,1,DEM,2346631.22,189582.45,2334914.06,0.0,0.0,11717.16,3125.0,100000.0,0.0,0.0,0.0,100000.0,1660034.89,TX,15.0,,,,,,328250.0,180.84,12/31/2022,13423.48,500.0,VALLEJO,MICHELLE
15,Veronica Escobar,Female,Latino,,,Yes,No,Texas,3/1/2022,Representative,16,30954,88,Won,0,0,,,,,Yes,,,,,,False,Latino,ESCOBAR,VERONICA,1,['Latino (Mexican)'],VERONICA,ESCOBAR,H8TX16109,"ESCOBAR, VERONICA",I,1,DEM,1295134.87,0.0,1333277.5,0.0,284855.28,246712.65,0.0,0.0,0.0,0.0,0.0,0.0,654832.14,TX,16.0,,,,,,639214.15,0.0,12/31/2022,197.0,0.0,ESCOBAR,VERONICA
16,Sheila Jackson Lee,Female,Black,,,Yes,No,Texas,3/1/2022,Representative,18,35194,100,Won,0,0,,,,,,,,,,,False,Black,LEE,SHEILA,0,[],SHEILA,LEE,H4TX18054,"LEE, SHEILA JACKSON",I,1,DEM,999665.39,0.0,886576.92,0.0,167819.79,301375.52,0.0,0.0,0.0,0.0,0.0,0.0,748268.47,TX,18.0,,,,,,248895.0,0.0,12/31/2022,45050.0,0.0,LEE,SHEILA
17,Joaquin Castro,Male,Latino,,,Yes,No,Texas,3/1/2022,Representative,20,33214,100,Won,0,0,,,,,,,,,,,False,Latino,CASTRO,JOAQUIN,0,['Latino (Mexican)'],JOAQUIN,CASTRO,H2TX35011,"CASTRO, JOAQUIN",I,1,DEM,682068.98,0.0,635072.68,0.0,115747.27,162743.57,0.0,0.0,0.0,0.0,0.0,0.0,439572.71,TX,20.0,,,,,,242496.27,0.0,12/31/2022,1999.44,0.0,CASTRO,JOAQUIN
18,Cherif Gacis,Male,Latino,,,No,No,Texas,3/1/2022,Representative,21,902,3,Lost,0,0,,,,,,,,,,,False,Latino,GACIS,CHERIF,0,[],CHERIF,GACIS,H2TX21169,"GACIS, CHERIF",C,1,DEM,4639.11,0.0,4639.11,37.25,0.0,0.0,4579.11,0.0,0.0,0.0,0.0,0.0,60.0,TX,21.0,,,,,,0.0,0.0,03/31/2022,0.0,0.0,GACIS,CHERIF
19,Scott William Sturm,Male,White,,,No,No,Texas,3/1/2022,Representative,21,1865,5,Lost,0,0,,,,,,,,,,,False,White,STURM,SCOTT,0,[],SCOTT,STURM,H2TX21128,"STURM, SCOTT WILLIAM",C,1,DEM,76134.21,0.0,76119.34,0.0,4103.92,0.0,4140.0,0.0,0.0,0.0,0.0,0.0,71994.21,TX,21.0,,,,,,0.0,0.0,03/14/2022,0.0,0.0,STURM,SCOTT
20,Ricardo Villarreal,Male,Latino,,,No,No,Texas,3/1/2022,Representative,21,9590,27,Made runoff,7996,37,Lost,,,,,,,,,,False,Latino,VILLARREAL,RICARDO,0,['Latino (Mexican)'],RICARDO,VILLARREAL,H2TX21185,"VILLARREAL, RICARDO",C,1,DEM,47924.69,37.25,46235.4,0.0,0.0,0.0,0.0,34473.74,0.0,15616.14,0.0,0.0,13413.7,TX,21.0,,,,,,0.0,0.0,09/30/2022,0.0,0.0,VILLARREAL,RICARDO
21,Claudia Andreana Zapata,Female,Latino,,,No,No,Texas,3/1/2022,Representative,21,16604,47,Made runoff,13886,63,Won,,,,,,,,,,False,Latino,ZAPATA,CLAUDIA,0,[],CLAUDIA,ZAPATA,H2TX35128,"ZAPATA, CLAUDIA ANDREANA",C,1,DEM,118238.36,0.0,101740.56,0.0,0.0,16497.8,2305.0,0.0,0.0,0.0,0.0,0.0,101694.11,TX,21.0,,,,,,3000.0,0.0,10/19/2022,2025.0,0.0,ZAPATA,CLAUDIA
22,John Lira,Male,Latino,,,No,No,Texas,3/1/2022,Representative,23,19816,56,Won,0,0,,,,,,,,,,,False,Latino,LIRA,JOHN,0,['Latino (Mexican)'],JOHN,LIRA,H2TX23132,"LIRA, JOHN",C,1,DEM,675078.71,0.0,674874.7,0.0,0.0,204.01,19344.31,0.0,0.0,0.0,0.0,0.0,603495.59,TX,23.0,,,,,,51500.0,0.0,12/31/2022,1262.0,0.0,LIRA,JOHN
23,Kathy Fragnoli,Female,White,,,No,No,Texas,3/1/2022,Representative,24,8139,28,Lost,0,0,,,,,,,,,,,False,White,FRAGNOLI,KATHY,0,[],KATHY,FRAGNOLI,H2TX24163,"FRAGNOLI, KATHY",C,1,DEM,55326.33,0.0,55326.33,0.0,0.0,0.0,0.0,32281.33,0.0,22354.51,0.0,0.0,23045.0,TX,24.0,,,,,,0.0,0.0,03/31/2022,2350.0,0.0,FRAGNOLI,KATHY
24,Derrik T. Gay,Male,White,,,No,No,Texas,3/1/2022,Representative,24,9571,33,Made runoff,6788,49,Lost,,,,,,,,,,False,White,GAY,DERRIK,0,[],DERRIK,GAY,H2TX24148,"GAY, DERRIK",C,1,DEM,349044.64,0.0,349044.64,0.0,0.0,0.0,0.0,9119.62,0.0,0.0,0.0,0.0,337379.15,TX,24.0,,,,,,500.0,0.0,11/28/2022,10400.0,0.0,GAY,DERRIK
25,Jan McDowell,Female,White,,,No,No,Texas,3/1/2022,Representative,24,11467,39,Made runoff,7118,51,Won,,,,,,,,,,False,White,MCDOWELL,JAN,0,[],JAN,MCDOWELL,H6TX24149,"MCDOWELL, JAN",C,1,DEM,136070.11,0.0,133444.82,0.0,0.0,2625.29,0.0,0.0,0.0,0.0,0.0,0.0,134440.11,TX,24.0,,,,,,0.0,750.0,12/31/2022,0.0,0.0,MCDOWELL,JAN
26,Victor Melgoza,Male,Latino,,,No,No,Texas,3/1/2022,Representative,27,3289,15,Lost,0,0,,,,,,,,,,,False,Latino,MELGOZA,VICTOR,0,[],VICTOR,MELGOZA,H2TX27307,"MELGOZA, VICTOR",C,1,DEM,3750.0,0.0,3296.96,0.0,0.0,453.04,0.0,2000.0,0.0,0.0,0.0,5125.0,1750.0,TX,27.0,,,,,,0.0,0.0,03/31/2022,0.0,0.0,MELGOZA,VICTOR
27,Anthony J. Tristan,Male,Latino,,,No,No,Texas,3/1/2022,Representative,27,5733,26,Lost,0,0,,,,,,,,,,,False,Latino,TRISTAN,ANTHONY,0,[],ANTHONY,TRISTAN,H2TX27273,"TRISTAN, ANTHONY JAMES",C,1,DEM,4957.99,0.0,4785.72,0.0,0.0,47.05,0.0,4320.0,0.0,0.0,0.0,160.0,637.99,TX,27.0,,,,,,0.0,0.0,12/31/2022,0.0,0.0,TRISTAN,ANTHONY
28,Tannya Judith Benavides,Female,Latino,,,No,Yes,Texas,3/1/2022,Representative,28,2324,5,Lost,0,0,,No,No,No,No,No,No,No,No,,False,Latino,BENAVIDES,TANNYA,0,[],TANNYA,BENAVIDES,H2TX28081,"BENAVIDES, TANNYA",C,1,DEM,32999.76,0.0,32999.76,0.0,0.0,-901.47,1000.0,0.0,0.0,0.0,0.0,0.0,28785.67,TX,28.0,,,,,,2900.0,0.0,12/31/2022,0.0,0.0,BENAVIDES,TANNYA
29,Jessica Cisneros,Female,Latino,,,No,Yes,Texas,3/1/2022,Representative,28,22983,47,Made runoff,22614,50,Lost,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,True,Latino,CISNEROS,JESSICA,8,['Latino (Mexican)'],JESSICA,CISNEROS,H0TX28077,"CISNEROS, JESSICA",C,1,DEM,6625534.01,39053.57,6521388.34,0.0,2969.1,107114.77,0.0,0.0,0.0,0.0,0.0,0.0,5822190.97,TX,28.0,,,,,,253913.36,0.0,12/31/2022,148998.1,0.0,CISNEROS,JESSICA
30,Henry Cuellar,Male,Latino,,,Yes,No,Texas,3/1/2022,Representative,28,23988,49,Made runoff,22895,50,Won,No,No,No,No,No,No,No,No,,False,Latino,CUELLAR,HENRY,0,['Latino (Mexican)'],HENRY,CUELLAR,H2TX23082,"CUELLAR, HENRY",I,1,DEM,4714812.12,152772.83,6217540.75,0.0,1550472.73,47744.1,18000.0,0.0,0.0,0.0,0.0,0.0,2664118.36,TX,28.0,,,,,,1784009.98,5000.0,12/31/2022,22718.05,0.0,CUELLAR,HENRY
31,Sylvia Garcia,Female,Latino,,,Yes,No,Texas,3/1/2022,Representative,29,19402,100,Won,0,0,,,,,,,,,,,False,Latino,GARCIA,SYLVIA,0,['Latino (Mexican)'],SYLVIA,GARCIA,H8TX29052,"GARCIA, SYLVIA R.",I,1,DEM,940934.37,0.0,804061.76,0.0,247598.98,384471.59,0.0,0.0,0.0,0.0,0.0,0.0,256272.66,TX,29.0,,,,,,684220.7,0.0,12/31/2022,0.0,0.0,GARCIA,SYLVIA
32,Jasmine Crockett,Female,Black,,,No,No,Texas,3/1/2022,Representative,30,26798,48,Made runoff,17462,61,Won,,,,,Yes,,Yes,,,True,Black,CROCKETT,JASMINE,2,[],JASMINE,CROCKETT,H2TX30178,"CROCKETT, JASMINE",O,1,DEM,970008.57,36669.7,817159.2,920.0,0.0,152849.37,0.0,0.0,0.0,0.0,0.0,0.0,691931.47,TX,30.0,,,,,,235262.86,4800.0,12/31/2022,5416.67,0.0,CROCKETT,JASMINE
33,Jane Hope Hamilton,Female,Black,,,No,No,Texas,3/1/2022,Representative,30,9436,17,Made runoff,11369,39,Lost,,,,,No,,No,,,False,Black,HAMILTON,JANE,0,[],JANE,HAMILTON,H2TX30137,"HAMILTON, JANE HOPE",O,1,DEM,705217.96,0.0,705217.96,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,652182.75,TX,30.0,,,,,,42500.0,0.0,06/30/2022,7150.0,0.0,HAMILTON,JANE
34,Vonciel Jones Hill,Female,Black,,,No,No,Texas,3/1/2022,Representative,30,1886,3,Lost,0,0,,,,,,No,,,,,False,Black,HILL,VONCIEL,0,[],VONCIEL,HILL,H2TX30152,"HILL, VONCIEL JONES",O,1,DEM,36438.45,0.0,35708.92,0.0,0.0,2285.84,251.76,3000.0,0.0,3000.0,0.0,0.0,33186.69,TX,30.0,,,,,,0.0,0.0,12/31/2022,0.0,0.0,HILL,VONCIEL
35,Barbara Mallory Caraway,Female,Black,,,No,No,Texas,3/1/2022,Representative,30,4277,8,Lost,0,0,,,,,,No,,,,,False,Black,CARAWAY,BARBARA,0,[],BARBARA,CARAWAY,H2TX30079,"CARAWAY, BARBARA LEN MALLORY",O,1,DEM,35371.78,0.0,34544.86,0.0,73.54,900.46,0.0,4000.0,0.0,0.0,0.0,32165.0,27950.0,TX,30.0,,,,,,0.0,0.0,12/31/2022,0.0,0.0,CARAWAY,BARBARA
36,Jessica Mason,Female,Black,,,No,No,Texas,3/1/2022,Representative,30,1858,3,Lost,0,0,,,,,,No,,,,,False,Black,MASON,JESSICA,0,[],JESSICA,MASON,H2TX30111,"MASON, JESSICA",C,1,DEM,290024.13,0.0,290024.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,268574.13,TX,30.0,,,,,,20450.0,0.0,03/31/2022,5812.0,0.0,MASON,JESSICA
37,Abel Mulugheta,Male,Black,,,No,No,Texas,3/1/2022,Representative,30,3284,6,Lost,0,0,,,,,,No,,,,,False,Black,MULUGHETA,ABEL,0,['Black (Eritrean)'],ABEL,MULUGHETA,H2TX30145,"MULUGHETA, ABEL",O,1,DEM,375477.51,0.0,375477.51,0.0,0.0,0.0,6672.77,0.0,0.0,0.0,0.0,0.0,367685.49,TX,30.0,,,,,,0.0,0.0,03/31/2022,30704.87,0.0,MULUGHETA,ABEL
38,Colin Allred,Male,Black,,,Yes,No,Texas,3/1/2022,Representative,32,31805,100,Won,0,0,,,,,,,,,,,False,Black,ALLRED,COLIN,0,[],COLIN,ALLRED,H8TX32098,"ALLRED, COLIN",I,1,DEM,3471591.94,49201.6,1642112.75,0.0,159422.38,1988901.57,0.0,0.0,0.0,0.0,0.0,0.0,2758114.75,TX,32.0,,,,,,626543.27,52.83,12/31/2022,45209.3,1000.0,ALLRED,COLIN
39,Marc Veasey,Male,Black,,,Yes,No,Texas,3/1/2022,Representative,33,16806,70,Won,0,0,,,,,,,,,,,False,Black,VEASEY,MARC,0,[],MARC,VEASEY,H2TX33073,"VEASEY, MARC ALLISON",I,1,DEM,1846105.83,0.0,1503704.24,0.0,468343.56,810745.15,0.0,0.0,0.0,0.0,0.0,0.0,599042.81,TX,33.0,,,,,,1242790.0,4000.0,12/31/2022,14345.0,0.0,VEASEY,MARC
40,Laura Cisneros,Female,Latino,,,No,Yes,Texas,3/1/2022,Representative,34,8456,23,Lost,0,0,,,,,,,,,,,False,Latino,CISNEROS,LAURA,0,[],LAURA,CISNEROS,H2TX34188,"CISNEROS, LAURA E. DR.",C,1,DEM,204861.12,0.0,161359.8,0.0,0.0,43501.32,0.0,200000.0,0.0,0.0,0.0,200000.0,4861.12,TX,34.0,,,,,,0.0,0.0,12/31/2022,0.0,0.0,CISNEROS,LAURA
41,Vicente Gonzalez,Male,Latino,,,Yes,No,Texas,3/1/2022,Representative,34,23531,65,Won,0,0,,,,,,,,,,,False,Latino,GONZALEZ,VICENTE,0,[],VICENTE,GONZALEZ,H6TX15162,"GONZALEZ, VICENTE",I,1,DEM,3197037.46,42885.09,4263576.11,0.0,1370492.48,303953.83,0.0,0.0,0.0,250000.0,0.0,0.0,1758232.82,TX,34.0,,,,,,1385716.71,7227.92,12/31/2022,5679.29,2400.0,GONZALEZ,VICENTE
42,William Thompson,Male,White,,,No,Yes,Texas,3/1/2022,Representative,34,1085,3,Lost,0,0,,,,,,,,,,,False,White,THOMPSON,WILLIAM,0,[],WILLIAM,THOMPSON,H2TX34196,"THOMPSON, WILLIAM",C,1,DEM,16845.81,0.0,16845.81,0.0,0.0,-1958.81,14505.0,0.0,0.0,0.0,0.0,0.0,2300.0,TX,34.0,,,,,,0.0,0.0,03/28/2022,448.47,0.0,THOMPSON,WILLIAM
43,Greg Casar,Male,Latino,,,No,No,Texas,3/1/2022,Representative,35,25505,61,Won,0,0,,,Yes,Yes,,Yes,Yes,Yes,Yes,,True,Latino,CASAR,GREG,6,['Latino (Mexican)'],GREG,CASAR,H2TX35144,"CASAR, GREG",C,1,DEM,1757510.27,7741.53,1594549.04,0.0,0.0,162961.23,0.0,10000.0,0.0,0.0,0.0,10000.0,1356852.79,TX,35.0,,,,,,382913.51,0.0,12/31/2022,0.0,1000.0,CASAR,GREG
44,Carla-Joy Sisco,Female,Black,,,No,No,Texas,3/1/2022,Representative,35,3190,8,Lost,0,0,,,No,No,,No,No,No,No,,False,Black,SISCO,CARLA-JOY,0,[],CARLA-JOY,SISCO,H2TX35219,"SISCO, CARLA-JOY",C,1,DEM,13465.0,0.0,13463.84,0.0,0.0,1.16,0.0,9995.0,0.0,100.0,0.0,9895.0,3470.0,TX,35.0,,,,,,0.0,0.0,08/04/2022,0.0,0.0,SISCO,CARLA-JOY
45,Rebecca Viagran,Female,Latino,,,No,No,Texas,3/1/2022,Representative,35,6511,16,Lost,0,0,,,No,No,,No,No,No,No,,False,Latino,VIAGRAN,REBECCA,0,[],REBECCA,VIAGRAN,H2TX35169,"VIAGRAN, REBECCA J",C,1,DEM,110360.0,0.0,106952.53,0.0,0.0,3407.47,0.0,0.0,0.0,0.0,0.0,0.0,107860.0,TX,35.0,,,,,,2500.0,0.0,12/31/2022,14900.0,0.0,VIAGRAN,REBECCA
46,Lloyd Doggett,Male,White,,,Yes,No,Texas,3/1/2022,Representative,37,60007,79,Won,0,0,,,,,,,,,,,False,White,DOGGETT,LLOYD,0,[],LLOYD,DOGGETT,H4TX10028,"DOGGETT, LLOYD",O,1,DEM,1389876.62,0.0,1280770.53,0.0,5205475.2,5314581.29,0.0,0.0,0.0,0.0,0.0,0.0,781963.39,TX,37.0,,,,,,460935.4,0.0,12/31/2022,0.0,1000.0,DOGGETT,LLOYD
47,Donna Imam,Female,Asian,,,No,Yes,Texas,3/1/2022,Representative,37,13385,18,Lost,0,0,,,,,,,,,,,False,Asian,IMAM,DONNA,0,['Asian (Bangladeshi)'],DONNA,IMAM,H0TX31097,"IMAM, DONNA",O,1,DEM,244620.11,0.0,225683.04,0.0,-50.0,18887.07,0.0,0.0,0.0,0.0,0.0,0.0,236660.9,TX,37.0,,,,,,0.0,0.0,12/31/2022,16.0,0.0,IMAM,DONNA
48,Duncan F. Klussmann,Male,White,,,No,No,Texas,3/1/2022,Representative,38,8698,39,Made runoff,6449,61,Won,,,,,,,,,,False,White,KLUSSMANN,DUNCAN,0,[],DUNCAN,KLUSSMANN,H2TX38056,"KLUSSMANN, DUNCAN FOSTER",O,1,DEM,279107.58,0.0,279107.58,0.0,0.0,0.0,0.0,7000.0,0.0,0.0,7000.0,0.0,269929.95,TX,38.0,,,,,,0.0,100.0,11/21/2022,2900.0,0.0,KLUSSMANN,DUNCAN
49,Centrell Reed,Female,Black,,,No,No,Texas,3/1/2022,Representative,38,3550,16,Lost,0,0,,,,,,,,,,,False,Black,REED,CENTRELL,0,[],CENTRELL,REED,H2TX38049,"REED, CENTRELL MS.",O,1,DEM,25330.46,0.0,25270.28,0.0,0.0,60.18,0.0,6496.44,0.0,0.0,0.0,6496.44,18192.86,TX,38.0,,,,,,0.0,0.0,03/31/2022,0.0,0.0,REED,CENTRELL
50,Frank J. Mrvan,Male,White,,,Yes,No,Indiana,5/3/2022,Representative,1,34489,86,Won,0,0,,,,,,,,,,,False,White,MRVAN,FRANK,0,[],FRANK,MRVAN,H0IN01150,"MRVAN, FRANK J.",I,1,DEM,2483248.03,149008.07,2543184.67,0.0,114227.59,54290.95,0.0,0.0,0.0,0.0,0.0,0.0,1408273.04,IN,1.0,,,,,,913457.23,11500.0,12/31/2022,14689.73,2400.0,MRVAN,FRANK
51,Paul D. Steury,Male,White,,,No,No,Indiana,5/3/2022,Representative,2,11708,100,Won,0,0,,,,,,,,,,,False,White,STEURY,PAUL,0,[],PAUL,STEURY,H2IN02279,"STEURY, PAUL MR.",O,1,DEM,103536.38,0.0,92955.31,0.0,0.0,10890.68,0.0,0.0,0.0,0.0,0.0,0.0,98536.38,IN,2.0,,,,,,5000.0,0.0,11/28/2022,0.0,0.0,STEURY,PAUL
52,Gary L. Snyder,Male,White,,,No,No,Indiana,5/3/2022,Representative,3,6794,56,Won,0,0,,,,,,,,,,,False,White,SNYDER,GARY,0,[],GARY,SNYDER,H2IN03202,"SNYDER, GARY",C,1,DEM,74397.02,0.0,74374.79,425.0,10.0,32.23,0.0,0.0,0.0,0.0,0.0,0.0,72897.02,IN,3.0,,,,,,1500.0,0.0,12/31/2022,0.0,0.0,SNYDER,GARY
53,"Cynthia ""Cinde"" Wirth",Female,White,,,No,No,Indiana,5/3/2022,Representative,6,9057,73,Won,0,0,,,,,,,,,,,False,White,WIRTH,CYNTHIA,0,[],CYNTHIA,WIRTH,H2IN06304,"WIRTH, CYNTHIA",C,1,DEM,50771.6,0.0,38910.21,0.0,0.0,-8363.89,3526.88,13142.06,0.0,0.0,0.0,0.0,32901.66,IN,6.0,,,,,,1200.0,0.0,12/31/2022,0.0,0.0,WIRTH,CYNTHIA
54,André D. Carson,Male,Black,,,Yes,No,Indiana,5/3/2022,Representative,7,36242,94,Won,0,0,,,,,,,,,,,False,Black,CARSON,ANDRÉ,0,[],ANDRE,CARSON,H8IN07184,"CARSON, ANDRE",I,1,DEM,857306.0,0.0,1134374.85,0.0,988169.87,711101.02,0.0,0.0,0.0,0.0,0.0,0.0,374625.63,IN,7.0,,,,,,467950.0,7348.0,12/31/2022,4444.45,2500.0,CARSON,ANDRE
55,Ray McCormick,Male,White,,,No,No,Indiana,5/3/2022,Representative,8,16465,70,Won,0,0,,,,,,,,,,,False,White,MCCORMICK,RAY,0,[],RAY,MCCORMICK,H2IN08169,"MCCORMICK, RAY",C,1,DEM,149920.22,0.0,137353.27,0.0,0.0,20075.84,0.0,30000.0,0.0,0.0,0.0,30000.0,117620.22,IN,8.0,,,,,,0.0,2300.0,12/31/2022,1000.0,0.0,MCCORMICK,RAY
